Date,Day_of_Week,LineName,Route_Type,VehicleJourneyCode,Origin,Destination,Scheduled_Departure,Hour_of_Day,Actual_Delay_Minutes
2025-01-01,Wednesday,25,City Tour,VJ_L25_0_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,09:50:00,9,16
2025-01-01,Wednesday,25,City Tour,VJ_L25_1_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:20:00,10,1
2025-01-01,Wednesday,25,City Tour,VJ_L25_2_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:50:00,10,0
2025-01-01,Wednesday,25,City Tour,VJ_L25_3_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:20:00,11,0
2025-01-01,Wednesday,25,City Tour,VJ_L25_4_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:50:00,11,3
2025-01-01,Wednesday,25,City Tour,VJ_L25_5_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:20:00,12,0
2025-01-01,Wednesday,25,City Tour,VJ_L25_6_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:50:00,12,3
2025-01-01,Wednesday,25,City Tour,VJ_L25_7_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:20:00,13,0
2025-01-01,Wednesday,25,City Tour,VJ_L25_8_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:50:00,13,2
2025-01-01,Wednesday,25,City Tour,VJ_L25_9_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:20:00,14,1
2025-01-01,Wednesday,25,City Tour,VJ_L25_10_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:50:00,14,1
2025-01-01,Wednesday,25,City Tour,VJ_L25_11_001,Gower Street / Salthouse Quay,Albert Dock / Strand Street,15:20:00,15,1
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_0_001,Station 10_A,Terminal 10_B,09:50:00,9,18
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_1_001,Station 10_A,Terminal 10_B,10:20:00,10,0
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_2_001,Station 10_A,Terminal 10_B,10:50:00,10,3
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_3_001,Station 10_A,Terminal 10_B,11:20:00,11,20
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_4_001,Station 10_A,Terminal 10_B,11:50:00,11,1
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_5_001,Station 10_A,Terminal 10_B,12:20:00,12,1
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_6_001,Station 10_A,Terminal 10_B,12:50:00,12,1
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_7_001,Station 10_A,Terminal 10_B,13:20:00,13,2
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_8_001,Station 10_A,Terminal 10_B,13:50:00,13,0
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_9_001,Station 10_A,Terminal 10_B,14:20:00,14,2
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_10_001,Station 10_A,Terminal 10_B,14:50:00,14,2
2025-01-01,Wednesday,10,Commuter Express,VJ_L10_11_001,Station 10_A,Terminal 10_B,15:20:00,15,0
2025-01-01,Wednesday,86,Student Link,VJ_L86_0_001,Station 86_A,Terminal 86_B,09:50:00,9,9
2025-01-01,Wednesday,86,Student Link,VJ_L86_1_001,Station 86_A,Terminal 86_B,10:20:00,10,3
2025-01-01,Wednesday,86,Student Link,VJ_L86_2_001,Station 86_A,Terminal 86_B,10:50:00,10,0
2025-01-01,Wednesday,86,Student Link,VJ_L86_3_001,Station 86_A,Terminal 86_B,11:20:00,11,1
2025-01-01,Wednesday,86,Student Link,VJ_L86_4_001,Station 86_A,Terminal 86_B,11:50:00,11,1
2025-01-01,Wednesday,86,Student Link,VJ_L86_5_001,Station 86_A,Terminal 86_B,12:20:00,12,0
2025-01-01,Wednesday,86,Student Link,VJ_L86_6_001,Station 86_A,Terminal 86_B,12:50:00,12,0
2025-01-01,Wednesday,86,Student Link,VJ_L86_7_001,Station 86_A,Terminal 86_B,13:20:00,13,3
2025-01-01,Wednesday,86,Student Link,VJ_L86_8_001,Station 86_A,Terminal 86_B,13:50:00,13,3
2025-01-01,Wednesday,86,Student Link,VJ_L86_9_001,Station 86_A,Terminal 86_B,14:20:00,14,3
2025-01-01,Wednesday,86,Student Link,VJ_L86_10_001,Station 86_A,Terminal 86_B,14:50:00,14,2
2025-01-01,Wednesday,86,Student Link,VJ_L86_11_001,Station 86_A,Terminal 86_B,15:20:00,15,3
2025-01-02,Thursday,25,City Tour,VJ_L25_0_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,09:50:00,9,12
2025-01-02,Thursday,25,City Tour,VJ_L25_1_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:20:00,10,1
2025-01-02,Thursday,25,City Tour,VJ_L25_2_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:50:00,10,3
2025-01-02,Thursday,25,City Tour,VJ_L25_3_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:20:00,11,2
2025-01-02,Thursday,25,City Tour,VJ_L25_4_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:50:00,11,0
2025-01-02,Thursday,25,City Tour,VJ_L25_5_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:20:00,12,2
2025-01-02,Thursday,25,City Tour,VJ_L25_6_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:50:00,12,0
2025-01-02,Thursday,25,City Tour,VJ_L25_7_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:20:00,13,1
2025-01-02,Thursday,25,City Tour,VJ_L25_8_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:50:00,13,3
2025-01-02,Thursday,25,City Tour,VJ_L25_9_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:20:00,14,0
2025-01-02,Thursday,25,City Tour,VJ_L25_10_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:50:00,14,3
2025-01-02,Thursday,25,City Tour,VJ_L25_11_002,Gower Street / Salthouse Quay,Albert Dock / Strand Street,15:20:00,15,3
2025-01-02,Thursday,10,Commuter Express,VJ_L10_0_002,Station 10_A,Terminal 10_B,09:50:00,9,19
2025-01-02,Thursday,10,Commuter Express,VJ_L10_1_002,Station 10_A,Terminal 10_B,10:20:00,10,3
2025-01-02,Thursday,10,Commuter Express,VJ_L10_2_002,Station 10_A,Terminal 10_B,10:50:00,10,1
2025-01-02,Thursday,10,Commuter Express,VJ_L10_3_002,Station 10_A,Terminal 10_B,11:20:00,11,2
2025-01-02,Thursday,10,Commuter Express,VJ_L10_4_002,Station 10_A,Terminal 10_B,11:50:00,11,1
2025-01-02,Thursday,10,Commuter Express,VJ_L10_5_002,Station 10_A,Terminal 10_B,12:20:00,12,2
2025-01-02,Thursday,10,Commuter Express,VJ_L10_6_002,Station 10_A,Terminal 10_B,12:50:00,12,3
2025-01-02,Thursday,10,Commuter Express,VJ_L10_7_002,Station 10_A,Terminal 10_B,13:20:00,13,44
2025-01-02,Thursday,10,Commuter Express,VJ_L10_8_002,Station 10_A,Terminal 10_B,13:50:00,13,0
2025-01-02,Thursday,10,Commuter Express,VJ_L10_9_002,Station 10_A,Terminal 10_B,14:20:00,14,1
2025-01-02,Thursday,10,Commuter Express,VJ_L10_10_002,Station 10_A,Terminal 10_B,14:50:00,14,0
2025-01-02,Thursday,10,Commuter Express,VJ_L10_11_002,Station 10_A,Terminal 10_B,15:20:00,15,1
2025-01-02,Thursday,86,Student Link,VJ_L86_0_002,Station 86_A,Terminal 86_B,09:50:00,9,22
